pdh_factor,simulated,data,fit,fitted_pdh_factor,fitted_pdh_factor_se
0.1,0.227222,,,,
0.177778,0.217539,,,,
0.25,0.209664,0.19392,0.209384,0.252736,0.0184269
0.255556,0.209097,,,,
0.333333,0.201662,,,,
0.411111,0.195054,,,,
0.488889,0.189129,,,,
0.5,0.188332,0.169055,0.192764,0.440207,0.0325761
0.566667,0.183775,,,,
0.644444,0.1789,,,,
0.722222,0.174434,,,,
0.75,0.172926,0.151609,0.174798,0.715637,0.0530649
0.8,0.170316,,,,
0.877778,0.1665,,,,
0.955556,0.162946,,,,
1,0.16102,0.140966,0.156999,1.09832,0.0790296
1.03333,0.159621,,,,
1.11111,0.156499,,,,
1.18889,0.153556,,,,
1.26667,0.150773,,,,
1.34444,0.148135,,,,
1.42222,0.145627,,,,
1.5,0.143237,,,,
