pdh_factor,simulated,data,fit,fitted_pdh_factor,fitted_pdh_factor_se
0.1,0.136241,,,,
0.177778,0.120941,,,,
0.25,0.109288,0.0627878,0.108888,0.252736,0.0184269
0.255556,0.108478,,,,
0.333333,0.0982238,,,,
0.411111,0.0897051,,,,
0.488889,0.0825615,,,,
0.5,0.0816363,0.079044,0.0868882,0.440207,0.0325761
0.566667,0.0765169,,,,
0.644444,0.0713579,,,,
0.722222,0.0669187,,,,
0.75,0.065482,0.100269,0.0672701,0.715637,0.0530649
0.8,0.0630692,,,,
0.877778,0.0597067,,,,
0.955556,0.0567494,,,,
1,0.0552157,0.0811069,0.0521666,1.09832,0.0790296
1.03333,0.0541318,,,,
1.11111,0.051801,,,,
1.18889,0.049714,,,,
1.26667,0.0478356,,,,
1.34444,0.0461367,,,,
1.42222,0.0445933,,,,
1.5,0.0431852,,,,
