pdh_factor,simulated,data,fit,fitted_pdh_factor,fitted_pdh_factor_se
0.1,0.011,,,,
0.177778,0.011,,,,
0.25,0.011,0.00456905,0.011,0.252736,0.0184269
0.255556,0.011,,,,
0.333333,0.011,,,,
0.411111,0.011,,,,
0.488889,0.011,,,,
0.5,0.011,0.0381514,0.011,0.440207,0.0325761
0.566667,0.011,,,,
0.644444,0.011,,,,
0.722222,0.011,,,,
0.75,0.011,-0.00998182,0.011,0.715637,0.0530649
0.8,0.011,,,,
0.877778,0.011,,,,
0.955556,0.011,,,,
1,0.011,0.00410003,0.011,1.09832,0.0790296
1.03333,0.011,,,,
1.11111,0.011,,,,
1.18889,0.011,,,,
1.26667,0.011,,,,
1.34444,0.011,,,,
1.42222,0.011,,,,
1.5,0.011,,,,
