ldh_factor,simulated,data,fit,fitted_ldh_factor,fitted_ldh_factor_se
0.1,0.626905,,,,
0.25,0.617236,0.570735,0.616828,0.262345,0.0843867
0.316667,0.615345,,,,
0.5,0.612466,0.609874,0.615218,0.322147,0.132126
0.533333,0.612142,,,,
0.75,0.610768,,,,
0.966667,0.610113,,,,
1,0.61005,0.644837,0.60975,1.5886,1.59979
1.18333,0.609817,,,,
1.4,0.609725,,,,
1.61667,0.60976,,,,
1.83333,0.609877,,,,
2,0.610006,0.635897,0.610457,0.833742,0.899218
2.05,0.61005,,,,
2.26667,0.610263,,,,
2.48333,0.610504,,,,
2.7,0.610766,,,,
2.91667,0.611042,,,,
3.13333,0.611329,,,,
3.35,0.611624,,,,
3.56667,0.611924,,,,
3.78333,0.612228,,,,
4,0.612534,,,,
