ldh_factor,simulated,data,fit,fitted_ldh_factor,fitted_ldh_factor_se
0.1,0.527719,,,,
0.25,0.519759,0.504015,0.519677,0.253986,0.0102164
0.316667,0.518718,,,,
0.5,0.517726,0.498449,0.517669,0.54254,0.0356781
0.533333,0.517678,,,,
0.75,0.517738,,,,
0.966667,0.51807,,,,
1,0.51813,0.496814,0.51801,0.93286,0.0889674
1.18333,0.518483,,,,
1.4,0.518919,,,,
1.61667,0.519357,,,,
1.83333,0.519788,,,,
2,0.520114,0.50006,0.519332,1.60452,0.22076
2.05,0.52021,,,,
2.26667,0.520623,,,,
2.48333,0.521025,,,,
2.7,0.521417,,,,
2.91667,0.521801,,,,
3.13333,0.522175,,,,
3.35,0.522541,,,,
3.56667,0.522899,,,,
3.78333,0.52325,,,,
4,0.523594,,,,
