pdh_factor,simulated,data,fit,fitted_pdh_factor,fitted_pdh_factor_se
0.1,0.359965,,,,
0.15,0.368568,,,,
0.2,0.377196,,,,
0.25,0.38585,0.370106,0.386644,0.254579,0.0227939
0.3,0.394529,,,,
0.35,0.40323,,,,
0.4,0.411955,,,,
0.45,0.420701,,,,
0.5,0.429467,0.41019,0.428087,0.492136,0.0241323
0.55,0.438254,,,,
0.6,0.44706,,,,
0.65,0.455885,,,,
0.7,0.464728,,,,
0.75,0.473588,0.452272,0.473571,0.749901,0.0231101
0.8,0.482465,,,,
0.85,0.491359,,,,
0.9,0.500268,,,,
0.95,0.509192,,,,
1,0.51813,0.498077,0.511252,0.961534,0.0211392
