pdh_factor,simulated,data,fit,fitted_pdh_factor,fitted_pdh_factor_se
0.1,0.560493,,,,
0.15,0.56323,,,,
0.2,0.565969,,,,
0.25,0.568711,0.52221,0.568962,0.254579,0.0227939
0.3,0.571454,,,,
0.35,0.5742,,,,
0.4,0.576948,,,,
0.45,0.579697,,,,
0.5,0.582448,0.579856,0.582016,0.492136,0.0241323
0.55,0.585201,,,,
0.6,0.587956,,,,
0.65,0.590713,,,,
0.7,0.593471,,,,
0.75,0.59623,0.631018,0.596225,0.749901,0.0231101
0.8,0.598992,,,,
0.85,0.601754,,,,
0.9,0.604518,,,,
0.95,0.607283,,,,
1,0.61005,0.635941,0.607921,0.961534,0.0211392
