pdh_factor,simulated,data,fit,fitted_pdh_factor,fitted_pdh_factor_se
0.1,0.600412,,,,
0.15,0.600969,,,,
0.2,0.601512,,,,
0.25,0.60204,0.595609,0.602087,0.254579,0.0227939
0.3,0.602554,,,,
0.35,0.603056,,,,
0.4,0.603544,,,,
0.45,0.604021,,,,
0.5,0.604486,0.631637,0.604413,0.492136,0.0241323
0.55,0.604939,,,,
0.6,0.605382,,,,
0.65,0.605814,,,,
0.7,0.606235,,,,
0.75,0.606647,0.585666,0.606647,0.749901,0.0231101
0.8,0.60705,,,,
0.85,0.607443,,,,
0.9,0.607828,,,,
0.95,0.608204,,,,
1,0.608572,0.601672,0.60829,0.961534,0.0211392
