pdh_factor,simulated,data,fit,fitted_pdh_factor,fitted_pdh_factor_se
0.1,0.0484057,,,,
0.15,0.0711323,,,,
0.2,0.0950981,,,,
0.25,0.119863,0.10412,0.119965,0.250202,0.00444327
0.3,0.145175,,,,
0.35,0.170878,,,,
0.4,0.196871,,,,
0.45,0.223085,,,,
0.5,0.249472,0.230195,0.251692,0.504195,0.00454319
0.55,0.275997,,,,
0.6,0.302634,,,,
0.65,0.329365,,,,
0.7,0.356173,,,,
0.75,0.383047,0.36173,0.384171,0.752089,0.00434875
0.8,0.409977,,,,
0.85,0.436956,,,,
0.9,0.463978,,,,
0.95,0.491038,,,,
1,0.51813,0.498077,0.515376,0.994919,0.0040204
