pdh_factor,simulated,data,fit,fitted_pdh_factor,fitted_pdh_factor_se
0.1,0.054652,,,,
0.15,0.0814421,,,,
0.2,0.109748,,,,
0.25,0.139026,0.0925252,0.139146,0.250202,0.00444327
0.3,0.168966,,,,
0.35,0.199376,,,,
0.4,0.230132,,,,
0.45,0.261151,,,,
0.5,0.292373,0.289781,0.295,0.504195,0.00454319
0.55,0.323757,,,,
0.6,0.35527,,,,
0.65,0.386889,,,,
0.7,0.418596,,,,
0.75,0.450376,0.485164,0.451705,0.752089,0.00434875
0.8,0.482219,,,,
0.85,0.514114,,,,
0.9,0.546055,,,,
0.95,0.578035,,,,
1,0.61005,0.635941,0.606795,0.994919,0.0040204
