pdh_factor,simulated,data,fit,fitted_pdh_factor,fitted_pdh_factor_se
0.1,0.457585,,,,
0.15,0.488159,,,,
0.2,0.510456,,,,
0.25,0.527444,0.521013,0.527504,0.250202,0.00444327
0.3,0.540823,,,,
0.35,0.551637,,,,
0.4,0.560563,,,,
0.45,0.568059,,,,
0.5,0.574444,0.601596,0.574937,0.504195,0.00454319
0.55,0.579952,,,,
0.6,0.584752,,,,
0.65,0.588974,,,,
0.7,0.592719,,,,
0.75,0.596063,0.575081,0.596195,0.752089,0.00434875
0.8,0.599068,,,,
0.85,0.601785,,,,
0.9,0.604253,,,,
0.95,0.606506,,,,
1,0.608572,0.601672,0.60837,0.994919,0.0040204
