pdh_factor,simulated,data,fit,fitted_pdh_factor,fitted_pdh_factor_se
0.1,0.187568,,,,
0.15,0.206555,,,,
0.2,0.225332,,,,
0.25,0.243964,0.22822,0.244006,0.250115,0.00507899
0.3,0.262493,,,,
0.35,0.280946,,,,
0.4,0.29934,,,,
0.45,0.31769,,,,
0.5,0.336003,0.316726,0.338207,0.506022,0.00528049
0.55,0.354288,,,,
0.6,0.372549,,,,
0.65,0.39079,,,,
0.7,0.409015,,,,
0.75,0.427226,0.405909,0.428268,0.752862,0.0050887
0.8,0.445425,,,,
0.85,0.463613,,,,
0.9,0.481793,,,,
0.95,0.499965,,,,
1,0.51813,0.498077,0.516276,0.994894,0.00472618
