pdh_factor,simulated,data,fit,fitted_pdh_factor,fitted_pdh_factor_se
0.1,0.0982652,,,,
0.15,0.124145,,,,
0.2,0.150888,,,,
0.25,0.178222,0.131721,0.178285,0.250115,0.00507899
0.3,0.205979,,,,
0.35,0.234049,,,,
0.4,0.262358,,,,
0.45,0.290852,,,,
0.5,0.319494,0.316902,0.322952,0.506022,0.00528049
0.55,0.348254,,,,
0.6,0.377112,,,,
0.65,0.40605,,,,
0.7,0.435056,,,,
0.75,0.46412,0.498907,0.465785,0.752862,0.0050887
0.8,0.493232,,,,
0.85,0.522386,,,,
0.9,0.551577,,,,
0.95,0.580799,,,,
1,0.61005,0.635941,0.607061,0.994894,0.00472618
