pdh_factor,simulated,data,fit,fitted_pdh_factor,fitted_pdh_factor_se
0.1,0.49951,,,,
0.15,0.51922,,,,
0.2,0.534317,,,,
0.25,0.54625,0.53982,0.546275,0.250115,0.00507899
0.3,0.555921,,,,
0.35,0.563916,,,,
0.4,0.570637,,,,
0.45,0.576365,,,,
0.5,0.581306,0.608458,0.581856,0.506022,0.00528049
0.55,0.585611,,,,
0.6,0.589396,,,,
0.65,0.592749,,,,
0.7,0.595741,,,,
0.75,0.598426,0.577445,0.598572,0.752862,0.0050887
0.8,0.60085,,,,
0.85,0.60305,,,,
0.9,0.605054,,,,
0.95,0.606887,,,,
1,0.608572,0.601672,0.608406,0.994894,0.00472618
